RequirementText,_class_
system shall able display printable summary individual nursing student include limit student name student id admission date class credit gpa cohort student enrol,F
system shall able display printable summary system log,F
system shall contain contact information phone number people relevant system include limited staff member student lecture instructor clinical lab instructor clinical site administrator,F
system use stored address primary mean communicate information affected party,F
system notify affected party routine communication purpose include limited inform student upcoming offer class timeline schedule,F
system notify affected party change occur affect clinicals include limited clinical section capacity change clinical section cancellation,F
system notify affected party change occur affect class include limited class cancellation class section detail change change class offering give quarter,F
system notify affected party change occur affect cohort include limit change sequence program study change give schedule lab cancel week due instructor illness,F
system notify affected party change occur affect specific student include limited change status full time part time move student different clinical section,F
program staff member shall ability modify information relate cohort include cohort identifier program study preferred sequence class quarter cohort take specific class,F
program staff member shall ability modify information relate program study within nursing department include program study name required class program study,F
program staff member shall ability modify information relate clinical site include clinical site name site contact person contact information address,F
program staff member shall ability modify information relate clinical lab section include clinical site name lab class instructor day time lab contact information,F
program staff member shall ability modify information relate nursing student include student id student name phone number status full time part time program study,F
dispute application shall comply corporate standard user interface creation internally externally used application,LF
screen create part dispute application must comply corporate standard interface creation,LF
list dispute case display search perform must color cod easy identification dispute case base upon dispute case status,US
cardmember merchant service representative shall use dispute application regularly training course,US
cardmember service representative shall able successfully create dispute case first encounter complete training course,US
merchant service representative shall able successfully perform follow action dispute case first encounter complete training course,US
maximum wait time user navigate one screen another within dispute application shall second,PE
dispute application shall support concurrent user without degradation performance application,PE
dispute application shall available exception follow scheduled maintenance window monday saturday est sunday est,O
dispute application shall interface statement database statement database provide transaction detail dispute system transaction detail must obtain statement database,O
dispute application shall interface cardmember information database cardmember information database provide detailed information regard cardmember cardmember detail information must obtain cardmember information database,O
dispute application shall interface merchant information database merchant information database provide detailed information regard merchant merchant detail information shall obtain merchant information database,O
dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must send print letter utility application,O
dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember account adjustment request must send cardmember posting billing system,O
dispute application shall ensure user appropriate access level allow initiate dispute request,SE
user update access must able initiate dispute request,SE
dispute application shall ensure authorize user allow logon application,SE
authorize user authenticate must able logon dispute system,SE
dispute system shall generate user report detail new user add change exist access level report review audit purpose,SE
addition new user modification access shall record user report,SE
user account revoke system administrator,SE
system administrator shall able reset revoked user logon account,SE
dispute application shall manipulate view business data user direct access data file database,SE
update data file database must initiate dispute system,SE
dispute application must conform legal requirement specify merchant operate regulation,L
business rule specify dispute system shall compliance merchant operate regulation,L
dispute application must conform legal requirement specify regulation e regulation z govern credit card dispute process,L
business rule specify dispute system shall compliance guideline regulation e regulation z,L
dispute application must maintain detailed history every action user take dispute case ensure complete audit trail question arise later regard particular dispute case,L
action modify exist dispute case must record case history,L
dispute system must accessible internal external user,F
dispute system must prevent user access dispute case belong cardholder base,F
dispute system facilitate direct data entry dispute case via user interface support real time response user,F
dispute system must provide different level access regard dispute case initiation action,F
dispute system shall provide view access capability authorized user application,F
dispute system shall provide update access capability authorized user application,F
dispute system must allow user select disputable transaction base age transaction user interface initiate dispute ticket retrieval request chargeback notification select transaction,F
dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant,F
dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document send merchant inquire validity transaction,F
dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request request original receipt request copy receipt request portfolio portfolio consist documentation would provide proof purchase documentation receive car rental agency sale receipt,F
dispute system must prevent external user request original receipt request original receipt restrict internal user,F
dispute system must provide confirmation user upon creation ticket retrieval request contain following information dispute case number type retrieval request copy original portfolio date merchant response due,F
dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification send merchant indicate account charge back proof provide disputed transaction valid,F
dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback request pending immediate date merchant response due,F
dispute system shall prevent creation duplicate dispute request time,F
dispute system shall accurately provide list possible reason code give transaction list possible reason code must derive base type transaction industry merchant belong accord business rule define dispute system,F
dispute system must provide ability view exist dispute case,F
dispute system must provide search functionality search method must include ability search dispute case number merchant account number cardmember account number issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open close dispute reason code,F
list dispute case meet enter search criterion must provide user list case must differentiate type status case color line item list example open case yellow closed case gray,F
dispute system shall provide user ability view history activity occur dispute case,F
dispute system shall provide user ability follow dispute case via action list available follow action give dispute case must filter status case access level user,F
dispute system shall record name user date activity create modify dispute case system detailed history action take case include date user perform action must maintain audit purpose,F
systematic initiate action occur case dispute age process case activity generate upon next logon user initiate dispute case must notify systematic action occur dispute case,F
letter request must format accord guideline specify print letter utility system,F
dispute case close month must purge online dispute database,F
product must support internet explorer,O
product must support mozilla firefox,O
product shall interface choice part system provide feed recycled part data,O
product shall run exist hardware environment,O
product shall adhere corporate architecture guideline,O
product shall comply corporate user interface guideline,LF
product shall comply corporate color scheme,LF
appearance product shall appear professional,LF
product shall easy use adjuster collision estimator adjuster collision estimator shall find product easy use,US
product shall increase productivity collision estimator collision estimator shall agree productivity increase within month use product,US
user shall feel satisfied use product user satisfy product,US
product shall easy learn adjuster collision estimator product shall learn two day onsite train,US
user shall easily locate instruction use product user help find within system,US
search recycled part shall take long second search result shall return second,PE
search preferred repair facility shall take long second preferred repair facility return within second,PE
recycled part audit report shall return user within second audit report shall return within second,PE
preferred repair facility rating shall save within second save shall occur within second,PE
product shall adhere corporate online availability schedule application bring within scheduled outage per availability schedule,A
product shall achieve uptime product shall fail available online time,A
product shall able handle simultaneous user system shall perform user time,SC
average number recycled part record per day shall,SC
product shall able handle concurrent user within year initial launch,SC
estimator product shall able operate repair facility dirty noisy condition,O
product shall interface choiceparts system per day approximately,O
maintenance product fall within establish corporate maintenance window,O
product shall support use corporate support center,O
product installation upgrade shall handle middleware technology team within establish launch time frame,O
adjuster request recycle part audit report user without adjuster role shall request recycled part audit,SE
adjuster supervisor role update preferred repair facility rating user without supervisor role access repair facility rating,SE
collision estimator shall search recycled part user without collision estimator role shall access search recycled part,SE
valid data shall enter system invalid data shall enter system,SE
one insurance company shall able view another insurance company claim data,SE
product shall free computer virus,SE
system shall prevent malicious attack include denial service,SE
product must comply,L
product shall comply estimatics law relate recycle part usage,L
product shall comply insurance regulation regard claim processing,L
user shall search preferred repair facility use vehicle vehicle location radius mile,F
vehicle data shall include vehicle year make model,F
vehicle location shall include street address city state zipcode,F
system shall resolve zipcode street address city state zipcode unknown,F
search radius shall mile,F
system shall locate preferred repair facility high rating input criterion,F
adjuster shall enter preferred repair facility estimate assignment,F
adjuster shall able override preferred repair facitlity estimate assignment,F
preferred repair facility shall return user,F
system shall return list repair facility within radius preferred repair facility determine,F
estimator shall search available recycled part use damage vehicle part information,F
estimator shall search available recycled part use list preferred part supplier,F
system shall search available recycled part supplied vehicle part supplier,F
estimator shall search zipcode radius mile part find preferred part supplier,F
system shall retain available recycled part supplier return search,F
available recycled part information supplier shall return user,F
estimator shall apply select recycled part collision estimate,F
estimator shall apply recycled part collision estimate available part return,F
adjuster shall review collision estimate,F
adjuster shall request recycled part audit collision estimate,F
recycled part search result provide estimator shall retrieve system,F
system shall generate audit report base available recycled part collision estimate,F
audit report shall include total number recycled part use estimate,F
audit report shall include number available recycled part original search result,F
audit report shall include percentage available recycled part use estimate,F
audit report shall include total score audit sum indivual line item,F
audit report shall display user,F
audit report shall available adjuster late point time,F
user shall select view preferred repair facility rating,F
current repair facility rating shall display user,F
system display blank set rating rating yet define,F
user shall enter new rating base audit report,F
rating shall scale,F
rating shall include category attempted use recycled part actual use recycled part,F
user shall select save preferred repair facility rating,F
preferred repair facility rating shall save system,F
product must work database management system dbms market whether dbms colocated product machine locate different machine computer network,O
product function alongside server software operating system java runtime instal,O
product require collaboration database management system dbms dbms may locate machine product separate machine reside computer network,O
product must make use server technology open source example include apache web server tomcat jboss application server,O
database management system oracle mysql hsql need integrate product,O
look feel shall able incorporate aspect organization logo branding identity,LF
product shall conservative professional appearance,LF
product shall make user want use user survey report regularly use product first week,US
product shall easy use user able successfully reserve conference room within minute product use,US
product shall give user feedback necessary user survey report product accurately confirm action,US
product shall allow user select chosen language one target market country,US
product shall allow customization start page view preference,US
employee able successfully use product within minute informally navigate product less minute user shall able successfully setup meeting reserve conference room,US
product shall use standard navigation menu familiar web user,US
product shall allow intuitive searching available conference room,US
product shall conform american disability act,US
response shall fast enough avoid interrupt flow thought task shall complete within second task shall complete within second,PE
aside server failure software product shall achieve time,A
product shall create exception log problem encounter within product transmission company analysis resolution,FT
product shall capable handle concurrent request number increase release concurrency capacity must able handle peak schedule time early morning late afternoon hour,SC
product shall able process transaction per hour within two year launch number increase release,SC
product shall expect operate least year customer installation,SC
product shall use office environment,O
product must able interface html browser product shall transmit data user product without problem product shall display html properly html browser test minimum test browser,O
product must able interface various database management system product shall communicate successfully database management system transaction,O
product must able interface various email server product shall able send email,O
product shall available distribution via internet binary zip file,O
product shall available distribution packaged cd,O
product available license server server license,O
new user must able add system within minute new user able log system within minute,US
product must design use design pattern cod best practice maintenance software developer able integrate new functionality product work day,MN
product must highly configurable use various database management system end user end user able integrate new database management system product without change software code,MN
maintenance release offer customer year release shall take long minute customer base install,MN
every register user access support site via internet registered user shall find solution problem within minute use support site,US
customer shall able easily integrate new build map product throughout lifecycle integration new map product shall possible little support product support staff,MN
product shall translate foreign languages target market language future release emerge target market shall take day configure product language,US
product expect integrate multiple database management system product operate oracle sql server mysql hsql ms access,O
product shall able instal operating environment within day,O
product shall ensure company employee external user user id may product access logons shall either company employee external user user id,SE
manager able perform search query reservation user search query reservation user shall logons management logons,SE
product shall ensure data corresponds data enter user conference room reservation system contain information enter user,SE
product shall prevent input malicious data product adjacent data shall remain uncorrupted time malicious data input product,SE
product dependent shall remain operational result input malicious data product dependent shall crash time malicious data input product,FT
product shall ability receive automatic software update new threat emerge customer able receive automatic software update transmit installed product,SE
language product shall accommodate target market country survey respondent target market country find language product acceptable,SC
product shall able display calendar date time accord locale survey respondent target market country find date time formatting product correct,US
product must develop program language library,O
product shall record meeting entry,F
product notify employee meeting invitation,F
product shall ability send meeting reminder employee,F
product shall assign organizer contact information meeting create,F
product record meeting acknowledgement,F
product shall store new conference room,F
product shall update exist conference room,F
product able delete conference room,F
product shall able store new room equipment,F
product update existing room equipment,F
product shall able delete room equipment,F
product shall allow organizer invite employee meeting,F
time conference room reserve conference room schedule shall update reflect time date reservation,F
product shall record transportation status equipment reserve,F
product shall display map company build show conference room location,F
product shall record updated meeting agenda,F
product shall send meeting confirmation meeting organizer,F
product shall display room equipment accord search parameter,F
product shall display conference room accord search parameter,F
product shall record different meeting type,F
product shall record equipment reserve,F
product shall notify building personnel equipment transport request,F
product allow priviledged user view meeting schedule multiple reporting view,F
product shall able send meeting notification via different kind specify method,F
product shall customizable look feel,F
product shall intuitive user interface,F
product display available status unreserved conference room,F
recreation inventory quantity adjustment period previous day shall take,PE
system shall allow minimum user work time,PE
system shall utilize currently own computer equipment,O
system shall able automatically backup business data restore demand,O
system shall maintain consistent security change user password permission take affect part system,SE
system shall granularly control access right major subsystem possible assign access right subsystem independently,SE
system shall meet applicable accounting standard final version system must successfully pass independent audit perform certified auditor,L
system shall require additional third party license result royalty fee,O
system shall allow generation inventory quantity adjustment document demand,F
system shall allow demand generation inventory quantity adjustment document since certain point time,F
iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly,F
system shall allow enter store modify product formula,F
product formula shall allow use formula,F
product formula ingredient shall allow define substitutionary ingredient,F
product formula substitutionary ingredient shall enter automatically pfe subsystem,F
formula substitutionary ingredient shall keep persisted order,F
product shall allow enter store modify product menu use po terminal,F
pme subsystem shall allow building product menu base list product keep accounting system,F
pme subsystem shall allow keep submenu within menu product within submenu managed persisted order,F
pme subsystem shall allow product exist one submenu,F
rms system shall window xp look feel use gui future make use intuitive,F
system shall generate inventory quantity adjustment document base product daily sale data product formula,F
system shall generate inventory quantity adjustment document automatically daily product sale data available,F
administrator shall able activate card via administration section second,PE
customer shall able check status prepay card enter pin number second,PE
system shall let customer register website user minute,PE
system shall let customer register website movie user minute,PE
system shall let exist customer log website email address password second,PE
system shall let customer cancel account process shall take long minute database mark account inactive user able log website,PE
system shall let administrator customer account minute customer longer able access website,PE
system shall let administrator movie website minute enter movie information store database available website,PE
system shall let administrator category website minute,PE
system shall let izogn manager access sale usage statistic minute,PE
system shall let administrator generate unique pin minute generate excel file generated pin,PE
website shall attractive audience website shall appear fun color bright vibrant,LF
website african feel alienate website use animation page describe service grab user attention encourage sign,LF
website design modern clean concise,LF
product able use novice user internet,US
user navigate maximum page create account website,US
user able access streaming movie click log website,US
anonymous survey show customer comfortable purchase stream movie week use website,US
anonymous survey show customer comfortable use purchase card month use system,US
product shall retain buying preference information,US
product shall easy customer novice skill internet purchase watch stream movie customer able purchase watch movie minute,US
product shall use symbol word naturally understandable user familiar website,US
website use standard internet convention interact user,US
interface user automated system shall maximum response time second unless note exception,PE
purchase streaming movie card via credit card processing time maximum response time second,PE
stream movie buffering time take long second plus latency connection,PE
stream movie buffering occur latency connection,PE
credit card information secure server accessible authorized izogn administrator information encrypt database,SE
website shall available use hour per day day per year,A
website shall achieve time,A
movie shall stream demand time day,A
website shall continue operate streaming server go,FT
website shall continue operate payment gateway go,FT
streaming server support simultaneous stream connection,SC
streaming server support maximum movie new server add support movie,SC
server support maximum simultaneous user,SC
website shall capable support customer,SC
product shall expect operate within maximum maintenance budget minimum year,MN
aspect website shall access web browser internet,O
hardware support current website use support new system,O
must able interface follow browser ie netscape firefox,O
website must interface cybersource api process credit card transaction,O
website must fully operational msn,O
movie shall encode stream via window medium player,O
movie shall encode stream,O
promotional update website take day update,MN
izogn administrator must able update category listing website within minute,PE
izogn administrator must able add new product website within minute,PE
system provide hour toll free number support customer,A
website provide help section answer solution common problem,US
velkat staff available phone support provide technical support izogn administrator,A
product shall able instal specified environment within work day,O
registered customer purchase stream movie,SE
customer stream movie purchase within day view period,SE
authorized personnel access customer record database,SE
administrator activate card,SE
authorized personnel access sale information,SE
website shall prevent data corrupt incorrect data enter,SE
website shall protect intentional abuse notify administrator occurrence,SE
data integrity script run weekly basis verify integrity database,SE
website shall make user aware information practice collection data via privacy policy accessible page website,SE
system shall notify customer change information policy,SE
system shall reveal private information compliance information policy,SE
customer information store secure database accessible authorize personnel,SE
credit card information encrypt database,SE
streaming server software prevent infection malicious virus,SE
website cater tribe nigeria,LF
website shall offensive religious ethnic group,LF
website appeal african nigerian,LF
website use flash provide animation home page,O
izognmovies shall meet licensing requirement set forth appropriate organization order stream african movie,L
website comply standard,L
php code comply pear standard,L
website allow customer search movie title actor director,F
view movie detail website display movie description actor director enter administrator,F
website shall request authorize credit card payment allow user stream movie,F
shall able stream purchased movie via window medium player day aftere purchase date,F
website shall allow customer browse movie category enter izogn administrator,F
website shall allow customer view review select movie customer,F
website shall allow customer add movie review selected movie,F
website shall allow izogn administrator approve review post customer,F
system allow customer pay streaming movie card,F
website shall allow customer purchase card value either credit card payment option,F
system shall automatically update main page website every friday show late movie add website,F
system shall allow user update billing contact information via section website,F
card shall distribute via email via printed paper card,F
movie stream customer purchase movie within time period stream movie,F
website must able support free trial period various parameter set izogn manager,F
streaming movie sale log database accessible administrator,F
register customer information shall store maintain database even customer cancel account,F
daily usage statistic log accessible administrator,F
owner shall free access streaming movie,F
total lead cycle time must complete minute lead volume business hour cst cst minute lead volume business hour,PE
lead evaluation complete time period long second lead process,PE
lead process long second system record event duration,PE
process must fit within processing time condition set forth auto rep assignment process lead assign within minute total life cycle,PE
lead washing process operate within establish physical web service structure,O
wash process must use non bind neutral data format xml receiving process lead data,O
defect report available technical unit basis,A
wash parameter update scheduled maintenance hour,MN
vendor verify invalid lead,F
vendor submit credit validation record apply enterprise billing system,F
lead score high range system supply lead data score enterprise system,F
lead wash functionality validate lead receive web service valid data,F
lead wash functionality insert lead capture web service,F
lead score fall within high average score process ara functionality,F
lead score fall within medium average set manual verification enrollment coordinator eleads system,F
lead score fall within low average return supplying vendor,F
lead wash functionality compile contact academic scoring information total score,F
lead wash functionality use parameter supply corporate school score part lead,F
lead wash functionality return lead data supply vendor along reason rejection,F
lead wash functionality interface lead data parameter maintain,F
lead wash functionality verify user authentication right make parameter update,F
lead wash functionality store potential lead duplicate return enterprise system,F
prior submit lead enterprise system lead wash functionality assign lead admission rep,F
lead wash functionality shall receive period list available rep enterprise system,F
product shall simulate look ship sea,LF
product shall display grid within circle view periscope,LF
product shall display type ship grid use image specific type ship,LF
offensive player take shot product shall simulate sound ship sea,LF
shot mark miss product shall simulate sound shot miss target,LF
shot mark hit product shall simulate sound shot hit target,LF
ship sink product shall simulate sound sinking ship,LF
product shall available hour per day seven day per week,A
product shall able handle large number game simultaneously,PE
response time shall fast enough maintain flow game response time shall second response remain response,PE
product shall protect identity player product shall provide player access information might reveal identity another player,PE
product shall intuitive nine ten user shall able successfully complete game training,US
product shall available player understand english spanish french product shall allow user select language upon access product,US
product shall provide player access information might reveal identity another player,SE
response time shall fast enough maintain flow game response time shall second response remain response,PE
product shall maintain list player,F
product shall allow user identify player,F
game initiate product shall make player assign game unavailable selection list player,F
product shall allow user remove list player time,F
product shall make inactive player unavailable selection list player,F
product shall remove player inactive hour list player,F
product shall allow player initiate game select another available player list player,F
game initiate product shall display defensive grid player,F
game initiate product shall display offensive grid player,F
product shall prevent player view offensive defensive grid player,F
game initiate product shall allow player position ship respective defensive grid,F
product shall allow player position ship horizontally grid,F
product shall allow player position ship vertically grid,F
product shall allow player position ship diagonally grid,F
product shall prevent player overlap ship grid,F
player position ship defensive grid product shall define status player first turn,F
turn product shall identify one player offensive status one player defensive status,F
product shall maintain status player turn either offensive defensive,F
start turn product shall notify player status,F
turn product shall allow offensive player define shot,F
shot product shall examine defensive grid defensive player determine whether shot hit miss,F
shot product shall notify player whether shot hit miss,F
shot product shall mark shot hit miss defensive grid defensive player,F
shot product shall mark shot hit miss offensive grid offensive player,F
hit result sink ship product shall notify player ship sunk,F
hit result sink ship product shall mark ship sunk defensive grid defensive player,F
hit result sink ship product shall indicate type ship sunk defensive grid defensive player,F
hit result sink ship product shall mark ship sunk offensive grid offensive player,F
shot mark hit product shall allow offensive player define shot,F
shot mark miss product shall change status offensive player defensive,F
shot mark miss product shall change status defensive player offensive,F
product shall continue assign turn game end,F
product shall end game hit offensive player result sink last defensive ship previously mark sunk,F
product shall allow player end game time game,F
game end product shall notify player game end,F
notification game end include reason game end player game player end game,F
game end product shall allow player identify available player list player,F
game end product shall allow player remove list player,F
system shall easy use caller supervisor caller supervisor must able accomplish system task within minute,US
system shall easy learn caller supervisor caller supervisor shall learn use system within minute,US
system shall responsive depaul teleservices center supervisor use system view caller schedule system response time must second time second rest time,PE
connection system response time operation must second time,PE
connection faster system response time operation must second time,PE
system shall high availability every day system must available use day year,A
system must available use day year,A
product shall internet browser product must run use internet explorer netscape navigator,MN
product shall ensure supervisor advertise empty time product must ensure supervisor allow access advertise empty time slot,SE
product shall ensure supervisor enter product must ensure supervisor allow access advertise empty time slot,SE
product shall ensure supervisor view schedule product must ensure supervisor allow access advertise empty time slot,SE
interface shall simple look interface usability survey beta tester must report interface adequately simple,LF
interface shall appeal caller supervisor interface usability survey beta tester must report interface appeal,LF
product shall provide gui base monitoring administrator shall monitor message exchange predict determine problem also provide internal external support,LF
product shall comply city chicago application development guide development framework provide structured graphical user interface,LF
product shall provide monitor product shall easy system administrator dba use two week usage,US
product shall provide error track product shall help system administrator dba resolve transaction error time,US
product shall provide product shall help system administrator analyze transaction reporting kpis key performance indicator,US
product shall provide asynchronous product shall provide asynchronous message enable parallel processing reduce overhead communication,PE
product shall provide load product shall provide technology well load balance overcome data load spike traffic,PE
product shall process message within product shall maximum message processing time second,PE
product shall poll system message every product shall poll system new message maximum every second,PE
product shall provide dynamic change support transparent resource product shall support transparent resource addition dynamic change support provide scalability avoid service interruption day,PE
product shall available time rationale avoid service interruption busy customer service response period product shall available time regular business day,A
product shall product shall fault avoidance base standard adoption,FT
product shall robust fault product shall fault tolerance use recovery technique compensatory transaction rout around failure,FT
product shall able process product shall process minimum million transaction per year,SC
product shall platform product shall enable access type development environment platform,O
product shall interface csr product shall exchange message csr eam real time basis without direct interface two system,O
product shall continue operate upgrade change new resource product shall able continue operate interruption service due new resource addition,MN
product shall update regular product new major feature introduce every six month quarterly maintenance release every six month,MN
product shall operate every product shall accommodate new technology without change architecture,MN
product shall product shall provide authentication authorization,SE
product shall information security product shall enable privacy encryption integrity checking,SE
product shall audit product shall store message minimum one year audit transaction tracking purpose,SE
system shall use ibm ccr branding standard interface must one ibm logo one ccr logo,LF
system shall displayable work computer ccr user may system interface shall format display pixel resolution,LF
system interface use ccr nomenclature system must use nomenclature use exist wcs system report,LF
interface must summarize data fashion appeal ccr management every report type must least one high level summary show result,LF
system must use point click interface selection navigation functionality must able either mouse keyboard,US
interface shall easy use user able successfully use system generate report first use interface adhere ibm usability standard,US
report must easy generate report must generate within one button click export within one button click select report,US
user shall able use system without instruction short amount time one use user understand remember system usage navigation,US
ccr user shall receive training wcs system deploy one training session hold ccr user system deployment base ccr user available,US
wcs system shall use appropriate nomenclature terminology define corporate community grant organization interface report undergo usability test ccr user,US
wcs system shall available time long internal intranet accessible wcs system available time internal intranet available,A
wcs system shall ability connect designate wcs database currently include system,SC
wcs system shall ability include data region outside united state access user outside united state approve ccr management,SC
wcs system shall run windows environment wcs shall access user internet ibm computer run windows operating system,O
brio portion wcs system must able export file spreadsheet form microsoft excel lotus format brio provide button user interface report file format,O
wcs system must run query wcs databases specified day update available data available ccr user query must make external database data refresh week,MN
change update addition wcs system shall update wcs developer wcs user guide every change must reflect wcs system documentation,MN
system shall access authorized corporate community grant ccr employee user must authenticate use ibm intranet user name password,SE
wcs system shall allow automatic logins user cooky contain wcs login information user store computer,SE
team owner need use username password order authenticate reach team page,SE
commissioner authorized user per league adjust league setting,SE
page shall contain navigation menu show index current page contain,LF
page shall contain similar format action item one location navigation button different location,LF
message board shall contain recently post message league page message contain first character message,LF
new user shall able navigate league team page within second reach page,US
user shall able reach page one click team page,US
user shall able view least nfl player statistic point page,US
application shall ask user confirm drop player trading player perform action,US
application shall able complete every user transaction within one fourth second receive request network,PE
application shall downtime minute per year,A
application shall run web application server,O
primary database use store cached data active user,O
secondary database use store historical statistic data,O
application update shall occur cst wednesday morning middle nfl season,MN
new system version release shall release beginning nfl season,MN
